"company","total_exits","total_exit_value","avg_exit_value"
"Framebench Technologies Pvt Ltd",1,154083182125,154083182125
"Sarovar Hotels & Resorts",1,154083181567,154083181567
"LifeCell International Pvt Ltd",1,154083176435,154083176435
"Angels Health Pvt Ltd",1,154083174652,154083174652
"Cryptopy Technologies Pvt Ltd",1,154083165646,154083165646
"Flipkart Online Services Pvt Ltd",1,154083129898,154083129898
"RiverSilica Technologies Pvt Ltd",1,154083116208,154083116208
"Bharti Telecom Ltd",1,154083107343,154083107343
"Yatra Online Pvt Ltd",1,154083089902,154083089902
"Privi Organics Ltd",1,154083087666,154083087666
"Handy Home Solutions Pvt Ltd",1,154083068721,154083068721
"Asian Energy Services Ltd",1,154083065758,154083065758
"Insightful Labs Inc.",1,154083057848,154083057848
"Classic Stripes Aka CSPL Pvt Ltd",1,154083047663,154083047663
"Innovative Foods Ltd",1,154083038750,154083038750
"Sabarmati Gas Ltd",1,154083031872,154083031872
"Amoeba Webware Pvt Ltd",1,154083023093,154083023093
"Inopen Technologies Pvt Ltd",1,154083013098,154083013098
"Dalmia Cement (Bharat) Ltd",1,154083009455,154083009455
"Care Hospitals Pvt Ltd",1,154082994916,154082994916
"MphasiS Ltd",1,154082994538,154082994538
"Samhi Hotels Ltd",1,154082991193,154082991193
"Omnipresent Retail India Pvt Ltd",1,154082983659,154082983659
"Synergy Property Development Services Pvt Ltd",1,154082981091,154082981091
"Technology Frontiers (India) Pvt Ltd",1,154082975166,154082975166
"Village Laundry Services Pvt Ltd",1,154082965797,154082965797
"Incredible Technologies Pvt Ltd",1,154082957559,154082957559
"CommonFloor.com Inc",1,154082955478,154082955478
"Qikwell Technologies India Pvt Ltd",1,154082951521,154082951521
"KIMSHEALTH Management Ltd",1,154082949306,154082949306
"Pawaa Software Pvt Ltd",1,154082940735,154082940735
"Gland Pharma Ltd",1,154082938776,154082938776
"Turtleyogi Technologies Pvt Ltd",1,154082936348,154082936348
"Liveminds Solutions Pvt Ltd",1,154082929379,154082929379
"Gangavaram Port Ltd",1,154082921257,154082921257
"Cairn Energy India Pty Ltd",1,154082909968,154082909968
"Phoenix Lamps Ltd",1,154082891354,154082891354
"Lcl Logistix (India) Pvt Ltd",1,154082888633,154082888633
"IStage Entertainment Pvt Ltd",1,154082888568,154082888568
"Elitecore Technologies Pvt Ltd",1,154082878063,154082878063
"Shriram Finance Ltd",1,154082873800,154082873800
"Kiran Energy Solar Power Pvt Ltd",1,154082873084,154082873084
"Accelyst Solutions Pvt Ltd",1,154082865044,154082865044
"PriceBurp Media Pvt Ltd",1,154082769264,154082769264
"Caratlane Trading Pvt Ltd",1,154082702220,154082702220
"Destimoney Enterprises Pvt Ltd",1,154082698156,154082698156
"SpaceBound Web Labs Pvt Ltd",1,154082666465,154082666465
"Achindra Online Marketing Pvt Ltd",1,154082632712,154082632712
"Archean Group",1,154082605836,154082605836
"Serendipity Infolabs Pvt Ltd",1,154082581757,154082581757
"Green Infra Ltd",1,154082581137,154082581137
"Agile Electric Sub Assembly Private Ltd",1,154082571747,154082571747
"DaVita Nephrolife India Private Ltd",1,154082563309,154082563309
"Stargaze Entertainment Pvt Ltd",1,154082457737,154082457737
"Gurujicom Software Pvt Ltd",1,154082260318,154082260318
"Integra Software Services Pvt Ltd",1,154082180061,154082180061
"Nest Childcare Services Pvt Ltd",1,154082039021,154082039021
"JiGrahak Mobility Solutions Pvt Ltd",1,154082035996,154082035996
"Pizza Corner India (Private) Ltd",1,154081535547,154081535547
"Rupee Street Financial Services Pvt Ltd",1,154081352313,154081352313
"IViZ Techno Solutions Pvt Ltd",1,154081347536,154081347536
"Brattle Foods Pvt Ltd",1,154081336430,154081336430
"Music Broadcast Ltd",1,154081261761,154081261761
"Maharashtra Natural Gas Ltd",1,154080091996,154080091996
"Karmic Lifesciences Inc",1,154080084041,154080084041
"Whats On India Media Private Ltd",1,154079856265,154079856265
"Transpole Logistics Private Ltd",1,154079850012,154079850012
"Satyam Cineplexes Ltd",1,154079800713,154079800713
"Medreich Sterilab Ltd",1,154079660231,154079660231
"Welspun Maxsteel Ltd",1,154079659642,154079659642
"High Mark Credit Information Services Pvt Ltd",1,154079624029,154079624029
"Paras Pharmaceuticals, Ltd.",2,68783960499,34391980249.5
"Krishna Institute Of Medical Sciences Ltd",1,34393069357,34393069357
"Cyberoam Technologies Pvt Ltd",1,34393037389,34393037389
"Samson Maritime Ltd",1,34393031249,34393031249
"Bharat Fritz Werner Ltd",1,34393021487,34393021487
"Little Eye Software Labs Pvt Ltd",1,34393020038,34393020038
"Amba Research (India) Pvt Ltd",1,34393014490,34393014490
"Medica Synergie Pvt Ltd",1,34393010762,34393010762
"Spunk Media Pvt Ltd",1,34393008900,34393008900
"Hitachi Payment Services Pvt Ltd",1,34393008451,34393008451
"Virgo Engineers Ltd",1,34392952607,34392952607
"Electronica Machine Tools, Ltd.",1,34392946122,34392946122
"Omnesys Technologies Pvt Ltd",1,34392931064,34392931064
"Max Healthcare Institute Pvt",1,34392898586,34392898586
"Adepto Solutions Pvt., Ltd.",1,34392895369,34392895369
"Redbus.in",1,34392892439,34392892439
"Gharpay.in",1,34392891760,34392891760
"Shopo.in",1,34392887851,34392887851
"Nashik Vintners Pvt Ltd",1,34392875147,34392875147
"Neev Information Technologies Pvt Ltd",1,34392860778,34392860778
"Bush Foods Overseas Pvt., Ltd.",1,34392853962,34392853962
"Fingerprints Fashions Pvt., Ltd.",1,34392835600,34392835600
"TutorVista.com",1,34392834207,34392834207
"Landmark",1,34392830912,34392830912
"Quess Corp Limited",1,34392826048,34392826048
"CandyDate Jobs",1,34392820466,34392820466
"HHV Solar Technologies Pvt Ltd",1,34392811862,34392811862
"Webchutney Studio Pvt., Ltd.",1,34392804514,34392804514
"Rsp Architects Planners &",1,34392804467,34392804467
"Casa Grande Pvt., Ltd.",1,34392794292,34392794292
"Sree Ramcides Chemicals Pvt., Ltd.",1,34392794238,34392794238
"Asian Business Exhibitions & Conferences, Ltd.",1,34392792059,34392792059
"Tirumala Milk Products Pvt Ltd",1,34392779147,34392779147
"Exclusively.In, Inc.",1,34392774115,34392774115
"Viedea Capital Advisors Pvt., Ltd.",1,34392769227,34392769227
"TooStep Consultancy Pvt., Ltd.",1,34392759803,34392759803
"UrbanTouch.com",1,34392739065,34392739065
"Interactive Avenues Pvt., Ltd.",1,34392733054,34392733054
"Web Development Company, Ltd.",1,34392721829,34392721829
"CENTRAL UP GAS CO",1,34392721061,34392721061
"Andromeda Marketing Pvt., Ltd.",1,34392720076,34392720076
"Maini Precision Products Ltd",1,34392716415,34392716415
"Nilgiri Dairy Farm Pvt Ltd, The",1,34392715334,34392715334
"Gingersoft Media Pvt., Ltd.",1,34392712405,34392712405
"Updater Services Pvt Ltd",1,34392709625,34392709625
"Chakpak.com",1,34392703061,34392703061
"Firepro Systems Pvt., Ltd.",1,34392683265,34392683265
"GP Petroleums Ltd",1,34392667595,34392667595
"Algonomy Software Pvt Ltd",1,34392655889,34392655889
"eTree Marketing Pvt., Ltd.",1,34392654031,34392654031
"Netmagic Solutions Pvt Ltd",1,34392648644,34392648644
"PharmARC Analytic Solutions Pvt., Ltd.",1,34392648627,34392648627
"AppLabs Technologies Pvt., Ltd.",1,34392110962,34392110962
"Apollo Health Street Ltd",1,34392105378,34392105378
"Vishwa Infrastructures and Services Pvt Ltd",1,34392083222,34392083222
"Kapstone Constructions Pvt Ltd",1,34392068025,34392068025
"Hi-Rel Electronics Pvt., Ltd.",1,34392053773,34392053773
"Luminous Power Technologies Pvt Ltd",1,34392039962,34392039962
"Spykar Lifestyle Pvt  Ltd",1,34391855411,34391855411
"VFortress Network Security Pvt Ltd",1,34391852709,34391852709
"Webshastra Pvt, Ltd.",1,34391847861,34391847861
"Leisure & Lifestyle Info Svcs",1,34391845263,34391845263
"Rupeetalk Financial Services Pvt Ltd",1,34391842475,34391842475
"RFCL, Ltd.",1,34391838337,34391838337
"Kesar Marble and Granite Ltd",1,34391837455,34391837455
"Accutest Research Lab I Pvt Ltd",1,34391835412,34391835412
"Venture Infotek Global Pvt., Ltd.",1,34391831336,34391831336
"9X Media Pvt., Ltd.",1,34391813503,34391813503
"Mango Technologies",1,34391810252,34391810252
"Quippo Infrastructure Equipment, Ltd.",1,34391809630,34391809630
"India Infoline Marketing Services  Ltd (Aka  Iimsl)",1,34391809051,34391809051
"Ravin Cables, Ltd.",1,34391808664,34391808664
"Orchid Chemicals & Pharmaceuticals Ltd.",1,34391804752,34391804752
"Laser Soft Infosystems, Ltd.",1,34391798231,34391798231
"TravelGuru",1,34391792045,34391792045
"Conzerv Pvt., Ltd.",1,34391784419,34391784419
"RFCL, Ltd. - Vetnex Animal Health Unit",1,34391780905,34391780905
"Innovative B2b Logistics",1,34391780007,34391780007
"Matrix Laboratories",1,34391777856,34391777856
"Gopi Vallabh Solutions Pvt Ltd",1,34391777575,34391777575
"Mobile2Win India Pvt., Ltd.",1,34391773710,34391773710
"eOfficePlanet.com India Pvt., Ltd.",1,34391758121,34391758121
"Iteamic Pvt., Ltd.",1,34391757962,34391757962
"Kinetic Motor Company Ltd",1,34391752323,34391752323
"Brainvisa Technologies Pvt., Ltd.",1,34391731112,34391731112
"Comat Technologies Pvt Ltd",1,34391722341,34391722341
"Eastern Software Systems Pvt",1,34391718497,34391718497
"SkyGourmet Catering Pvt, Ltd.",1,34391712460,34391712460
"Mars Restaurants Pvt., Ltd.",1,34391712455,34391712455
"Adamya Computing Technologies Pte Ltd",1,34391710841,34391710841
"Icenet.net, Ltd.",1,34391708823,34391708823
"Ace Refractories",1,34391708332,34391708332
"RelQ Software Pvt., Ltd.",1,34391701664,34391701664
"Trinethra Super Market Limited",1,34391697554,34391697554
"IIS Scientific Computing Ltd.",1,34391696672,34391696672
"Ttk Healthcare Svcs Pvt Ltd",1,34391695353,34391695353
"The Indian Hotels Company Ltd",1,34391688667,34391688667
"G4 Software Tech(India)Ltd",1,34391686007,34391686007
"CricketnextCom",1,34391685101,34391685101
"MTR Foods Pvt Ltd",1,34391681145,34391681145
"Purple Vision Technologies Pvt., Ltd.",1,34391668567,34391668567
"Visual Vistas",1,34391666453,34391666453
"Plexion Tech(India)Pvt Ltd",1,34391665100,34391665100
"Indegene Ltd",1,34391658020,34391658020
"AT&S ECAD Technologies Pte, Ltd.",1,34391655342,34391655342
"Linc Software Services Pte., Ltd.",1,34391648943,34391648943
"Crossword Bookstores Ltd",1,34391648112,34391648112
"Rev IT Systems Pvt., Ltd.",1,34391646589,34391646589
"Ionic Microsystems Pte, Ltd.",1,34391646471,34391646471
"Dats India Ltd",1,34391645183,34391645183
"Vergil Technology (P) Ltd",1,34391642395,34391642395
"Intas Pharmaceuticals Ltd",1,34391625308,34391625308
"Tata Infotech",1,34391553771,34391553771
"VMLogix",1,34391323410,34391323410
"Nevis Networks (India) Pvt Ltd",1,34391313961,34391313961
"Picturehouse Media, Ltd.",1,34391294721,34391294721
"CL Educate Ltd",1,34391277166,34391277166
"Axes Technologies (India) Pvt Ltd",1,34391271477,34391271477
